n,time,size
1,2022-09-22T16:35:00,0
2,2022-09-24T14:35:00,20
3,2022-09-24T14:40:00,32
4,2022-09-24T14:45:00,55
5,2022-09-24T14:50:00,88
6,2022-09-24T14:55:01,123
7,2022-09-24T15:00:00,183
8,2022-09-24T15:05:00,187
9,2022-09-24T15:10:00,220
10,2022-09-24T15:15:00,246
11,2022-09-24T15:20:00,271
12,2022-09-24T15:25:00,306
13,2022-09-24T15:30:00,291
14,2022-09-24T15:35:00,295
15,2022-09-24T15:40:01,314
16,2022-09-24T15:45:00,299
17,2022-09-24T15:50:00,308
18,2022-09-24T15:55:00,346
19,2022-09-24T16:00:00,304
20,2022-09-24T16:05:00,326
21,2022-09-24T16:10:00,299
22,2022-09-24T16:15:00,305
23,2022-09-24T16:20:01,298
24,2022-09-24T16:25:00,299
25,2022-09-24T16:30:00,301
26,2022-09-24T16:35:00,276
27,2022-09-24T16:40:00,294
28,2022-09-24T16:45:00,284
29,2022-09-24T16:50:00,286
30,2022-09-24T16:55:01,280
31,2022-09-24T17:00:00,299
32,2022-09-24T17:05:00,277
33,2022-09-24T17:10:00,271
34,2022-09-24T17:15:00,260
35,2022-09-24T17:20:00,268
36,2022-09-24T17:25:01,222
37,2022-09-24T17:30:00,263
38,2022-09-24T17:35:00,259
39,2022-09-24T17:40:00,240
40,2022-09-24T17:45:00,265
41,2022-09-24T17:50:00,238
42,2022-09-24T17:55:00,241
43,2022-09-24T18:00:00,240
44,2022-09-24T18:05:01,228
45,2022-09-24T18:10:00,230
46,2022-09-24T18:15:00,217
47,2022-09-24T18:20:00,220
48,2022-09-24T18:25:00,196
49,2022-09-24T18:30:00,205
50,2022-09-24T18:35:00,195
51,2022-09-24T18:40:00,175
52,2022-09-24T18:45:00,181
53,2022-09-24T18:50:00,180
54,2022-09-24T18:55:00,170
55,2022-09-24T19:00:01,145
56,2022-09-24T19:05:00,158
57,2022-09-24T19:10:00,148
58,2022-09-24T19:15:00,138
59,2022-09-24T19:20:00,118
60,2022-09-24T19:25:00,128
61,2022-09-24T19:30:00,121
62,2022-09-24T19:35:00,112
63,2022-09-24T19:40:00,109
64,2022-09-24T19:45:00,123
65,2022-09-24T19:50:01,95
66,2022-09-24T19:55:00,113
67,2022-09-24T20:00:00,113
68,2022-09-24T20:05:00,104
69,2022-09-24T20:10:00,107
70,2022-09-24T20:15:00,117
71,2022-09-24T20:20:01,80
72,2022-09-24T20:25:00,111
73,2022-09-24T20:30:00,89
74,2022-09-24T20:35:00,63
75,2022-09-24T20:40:00,84
76,2022-09-24T20:45:00,89
77,2022-09-24T20:50:00,93
78,2022-09-24T20:55:01,69
79,2022-09-24T21:00:00,60
80,2022-09-24T21:05:00,79
81,2022-09-24T21:10:00,72
82,2022-09-24T21:15:00,57
83,2022-09-24T21:20:00,59
84,2022-09-24T21:25:00,68
85,2022-09-24T21:30:00,69
86,2022-09-24T21:35:00,60
87,2022-09-24T21:40:01,70
88,2022-09-24T21:45:00,61
89,2022-09-24T21:50:00,63
90,2022-09-24T21:55:00,49
91,2022-09-24T22:00:00,44
92,2022-09-24T22:05:00,40
93,2022-09-24T22:10:01,23
94,2022-09-24T22:15:00,29
95,2022-09-24T22:20:00,19
96,2022-09-24T22:25:00,30
97,2022-09-24T22:30:00,34
98,2022-09-24T22:35:00,26
99,2022-09-24T22:40:00,25
100,2022-09-24T22:45:00,24
101,2022-09-24T22:50:01,38
102,2022-09-24T22:55:00,22
103,2022-09-24T23:00:00,40
104,2022-09-24T23:05:00,27
105,2022-09-24T23:10:00,22
106,2022-09-24T23:15:00,26
107,2022-09-24T23:20:00,18
108,2022-09-24T23:25:01,22
109,2022-09-24T23:30:00,21
110,2022-09-24T23:35:00,28
111,2022-09-24T23:40:00,25
112,2022-09-24T23:45:00,15
113,2022-09-24T23:50:00,15
114,2022-09-24T23:55:00,11
115,2022-09-25T00:00:01,11
116,2022-09-25T00:05:00,13
117,2022-09-25T00:10:00,16
118,2022-09-25T00:15:00,9
119,2022-09-25T00:20:00,8
120,2022-09-25T00:25:00,11
121,2022-09-25T00:30:01,11
122,2022-09-25T00:35:00,6
123,2022-09-25T00:40:00,2
124,2022-09-25T00:45:00,10
125,2022-09-25T00:50:00,5
126,2022-09-25T00:55:00,2
127,2022-09-25T01:00:01,5
128,2022-09-25T01:05:00,8
129,2022-09-25T01:10:00,4
130,2022-09-25T01:15:00,3
131,2022-09-25T01:20:00,4
132,2022-09-25T01:25:00,9
133,2022-09-25T01:30:01,2
134,2022-09-25T01:35:00,7
135,2022-09-25T01:40:00,6
136,2022-09-25T01:45:00,6
137,2022-09-25T01:50:00,2
138,2022-09-25T02:00:02,4
139,2022-09-25T02:05:00,5
140,2022-09-25T02:10:00,1
141,2022-09-25T02:15:00,6
142,2022-09-25T02:35:00,4
143,2022-09-25T02:40:00,2
144,2022-09-25T02:45:01,4
145,2022-09-25T02:55:00,2
