id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
582786-23001,23001,582786,Brno,4,9050
582786-23002,23002,582786,Brno,3,9078
582786-23003,23003,582786,Brno,4,10214
582786-23004,23004,582786,Brno,3,9425
582786-23005,23005,582786,Brno,3,7560
582786-23006,23006,582786,Brno,4,10954
582786-23007,23007,582786,Brno,4,9593
582786-23008,23008,582786,Brno,4,11441
582786-23009,23009,582786,Brno,3,7627
582786-23010,23010,582786,Brno,4,2291
582786-23011,23011,582786,Brno,4,7554
582786-23012,23012,582786,Brno,4,4037
582786-23013,23013,582786,Brno,4,9517
582786-23014,23014,582786,Brno,4,4670
582786-23015,23015,582786,Brno,0,7608
582786-23016,23016,582786,Brno,4,11385
582786-23017,23017,582786,Brno,4,4721
582786-23018,23018,582786,Brno,4,19935
582786-23019,23019,582786,Brno,0,8851
582786-23020,23020,582786,Brno,0,10612
582786-23021,23021,582786,Brno,4,12378
582786-23022,23022,582786,Brno,4,15120
582786-23023,23023,582786,Brno,1,10272
582786-23024,23024,582786,Brno,0,13048
582786-23025,23025,582786,Brno,0,14892
582786-23026,23026,582786,Brno,1,10207
582786-23027,23027,582786,Brno,2,11416
582786-23028,23028,582786,Brno,0,12495
582786-23029,23029,582786,Brno,1,8654
582786-23030,23030,582786,Brno,0,13168
582786-23031,23031,582786,Brno,0,21399
582786-23032,23032,582786,Brno,4,17966
582786-23033,23033,582786,Brno,2,9084
582786-23034,23034,582786,Brno,4,15218
582786-23035,23035,582786,Brno,0,14219
582786-23036,23036,582786,Brno,4,11668
582786-23037,23037,582786,Brno,4,14138
582786-23038,23038,582786,Brno,4,14845
582786-23039,23039,582786,Brno,3,20331
582786-23040,23040,582786,Brno,3,18199
582786-23041,23041,582786,Brno,3,17721
582786-23042,23042,582786,Brno,3,15090
582786-23043,23043,582786,Brno,3,16646
582786-23044,23044,582786,Brno,3,16851
582786-23045,23045,582786,Brno,3,16302
582786-23046,23046,582786,Brno,3,14838
582786-23047,23047,582786,Brno,4,14469
582786-23048,23048,582786,Brno,3,14683
582786-23049,23049,582786,Brno,4,11237
582786-23050,23050,582786,Brno,4,11673
582786-23051,23051,582786,Brno,4,11421
582786-23052,23052,582786,Brno,0,9403
582786-23053,23053,582786,Brno,0,12479
582786-23054,23054,582786,Brno,3,14757
582786-23055,23055,582786,Brno,4,12934
582786-23056,23056,582786,Brno,4,11594
582786-23057,23057,582786,Brno,4,15021
582786-23058,23058,582786,Brno,4,10255
582786-23059,23059,582786,Brno,4,16987
582786-23060,23060,582786,Brno,4,10015
582786-23061,23061,582786,Brno,4,13646
582786-23062,23062,582786,Brno,0,14630
582786-23063,23063,582786,Brno,4,16055
582786-23064,23064,582786,Brno,4,16798
582786-23065,23065,582786,Brno,4,14284
582786-23066,23066,582786,Brno,4,13171
582786-23067,23067,582786,Brno,4,16866
582786-23068,23068,582786,Brno,3,13563
582786-23069,23069,582786,Brno,3,13249
582786-23070,23070,582786,Brno,4,16052
582786-27001,27001,582786,Brno,4,14563
582786-27002,27002,582786,Brno,0,12554
582786-27003,27003,582786,Brno,3,16832
582786-27004,27004,582786,Brno,0,12237
582786-27005,27005,582786,Brno,4,13471
582786-27006,27006,582786,Brno,3,19459
582786-27007,27007,582786,Brno,3,17677
582786-27008,27008,582786,Brno,3,17210
582786-27009,27009,582786,Brno,3,20013
582786-27010,27010,582786,Brno,0,16224
582786-27011,27011,582786,Brno,0,16027
582786-27012,27012,582786,Brno,0,15598
582786-27013,27013,582786,Brno,3,16735
582786-27014,27014,582786,Brno,3,22148
582786-27015,27015,582786,Brno,3,15547
582786-27016,27016,582786,Brno,2,18023
582786-27017,27017,582786,Brno,0,14192
582786-27018,27018,582786,Brno,0,19014
582786-27019,27019,582786,Brno,0,16846
582786-27020,27020,582786,Brno,2,18361
582786-27021,27021,582786,Brno,0,19869
582786-27022,27022,582786,Brno,0,13882
582786-27023,27023,582786,Brno,2,15376
582786-27024,27024,582786,Brno,0,14845
582786-27025,27025,582786,Brno,4,15181
