KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
500011,3,7200,15,Želechovice nad Dřevnicí,7204,1840,5,rt
500020,2,7100,11,Petrov nad Desnou,7105,1230,7,rt
500046,1,8100,15,Libhošť,8104,1723,1,1party
500054,21,1100,27,Praha 1,1100,26617,9,rt
500062,1,7200,15,Krhová,7203,2024,4,1okrsek_moreparties
500071,1,7200,15,Poličná,7203,1745,4,1okrsek_moreparties
500089,45,1100,35,Praha 2,1100,46101,8,rt
500097,52,1100,35,Praha 3,1100,72809,11,rt
500101,1,4100,7,Bražec,4102,221,5,1okrsek_moreparties
500119,132,1100,45,Praha 4,1100,126070,9,rt
500127,1,4100,7,Doupovské Hradiště,4102,160,1,1party
500135,2,7100,7,Kozlov,7102,270,2,rt
500143,81,1100,41,Praha 5,1100,85687,12,rt
500151,1,7100,7,Luboměř pod Strážnou,7104,122,2,1okrsek_moreparties
500160,2,7100,9,Město Libavá,7102,566,4,rt
500178,104,1100,45,Praha 6,1100,102100,10,rt
500186,36,1100,29,Praha 7,1100,43916,8,rt
500194,1,3100,7,Polná na Šumavě,3102,202,3,1okrsek_moreparties
500208,108,1100,45,Praha 8,1100,102847,12,rt
500216,42,1100,33,Praha 9,1100,58910,6,rt
500224,109,1100,45,Praha 10,1100,109144,9,rt
500259,1,8100,13,Veřovice,8104,1961,3,1okrsek_moreparties
500291,3,8100,15,Vřesina,8106,2854,4,rt
500496,96,7100,45,Olomouc,7102,99496,11,rt
500526,1,7100,15,Bělkovice-Lašťany,7102,2275,2,1okrsek_moreparties
500623,7,7100,15,Bílá Lhota,7102,1152,2,rt
500801,1,7100,7,Blatec,7102,653,3,1okrsek_moreparties
500852,1,7100,15,Bohuňovice,7102,2512,2,1okrsek_moreparties
500861,9,7100,15,Bouzov,7102,1504,6,rt
500879,1,7100,7,Bystročice,7102,830,2,1okrsek_moreparties
501298,20,4200,15,Ústí nad Labem-Severní Terasa,4207,18516,11,rt
501476,3,7100,15,Dlouhá Loučka,7102,1963,5,rt
501646,3,7100,15,Dolany,7102,2827,5,rt
501751,4,7100,15,Drahanovice,7102,1798,7,rt
501794,1,7100,15,Dub nad Moravou,7102,1604,2,1okrsek_moreparties
