KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
500011,3,7200,15,Želechovice nad Dřevnicí,7204,1840,5,rt
500020,2,7100,11,Petrov nad Desnou,7105,1230,7,rt
500054,21,1100,27,Praha 1,1100,26617,9,rt
500089,45,1100,35,Praha 2,1100,46101,8,rt
500097,52,1100,35,Praha 3,1100,72809,11,rt
500119,132,1100,45,Praha 4,1100,126070,9,rt
500135,2,7100,7,Kozlov,7102,270,2,rt
500143,81,1100,41,Praha 5,1100,85687,12,rt
500160,2,7100,9,Město Libavá,7102,566,4,rt
500178,104,1100,45,Praha 6,1100,102100,10,rt
500186,36,1100,29,Praha 7,1100,43916,8,rt
500208,108,1100,45,Praha 8,1100,102847,12,rt
500216,42,1100,33,Praha 9,1100,58910,6,rt
500224,109,1100,45,Praha 10,1100,109144,9,rt
500291,3,8100,15,Vřesina,8106,2854,4,rt
500496,96,7100,45,Olomouc,7102,99496,11,rt
500623,7,7100,15,Bílá Lhota,7102,1152,2,rt
500861,9,7100,15,Bouzov,7102,1504,6,rt
501298,20,4200,15,Ústí nad Labem-Severní Terasa,4207,18516,11,rt
501476,3,7100,15,Dlouhá Loučka,7102,1963,5,rt
501646,3,7100,15,Dolany,7102,2827,5,rt
501751,4,7100,15,Drahanovice,7102,1798,7,rt
502081,21,4200,15,Ústí nad Labem-Neštěmice,4207,22807,12,rt
502146,4,7100,15,Hlubočky,7102,4175,5,rt
502316,17,4200,15,Ústí nad Labem-Střekov,4207,13702,13,rt
502545,2,7100,11,Horka nad Moravou,7102,2577,4,rt
503444,17,7100,21,Litovel,7102,9567,9,rt
503622,4,7100,9,Luká,7102,883,3,rt
503657,4,7100,15,Lutín,7102,3152,4,rt
504246,2,7100,9,Mladeč,7102,716,4,rt
504441,3,7100,15,Náklo,7102,1504,2,rt
504505,3,7100,15,Náměšť na Hané,7102,2161,3,rt
505081,3,7100,15,Senice na Hané,7102,1779,6,rt
505111,2,7100,15,Slatinice,7102,1555,3,rt
505161,4,7100,15,Štěpánov,7102,3512,6,rt
505188,13,7100,21,Šternberk,7102,13144,6,rt
505218,2,7100,9,Šumvald,7102,1638,3,rt
505269,3,7100,15,Těšetice,7102,1315,3,rt
505293,3,7100,11,Troubelice,7102,1851,4,rt
