id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
500143-5001,5001,500143,Praha 5,4,9228
500143-5002,5002,500143,Praha 5,4,7237
500143-5003,5003,500143,Praha 5,3,6550
500143-5004,5004,500143,Praha 5,2,5181
500143-5005,5005,500143,Praha 5,4,7663
500143-5006,5006,500143,Praha 5,3,8172
500143-5007,5007,500143,Praha 5,3,6868
500143-5008,5008,500143,Praha 5,3,8709
500143-5009,5009,500143,Praha 5,4,9911
500143-5010,5010,500143,Praha 5,0,7532
500143-5011,5011,500143,Praha 5,4,9222
500143-5012,5012,500143,Praha 5,4,10966
500143-5013,5013,500143,Praha 5,3,6603
500143-5014,5014,500143,Praha 5,4,7075
500143-5015,5015,500143,Praha 5,2,6790
500143-5016,5016,500143,Praha 5,3,6604
500143-5017,5017,500143,Praha 5,0,10257
500143-5018,5018,500143,Praha 5,0,10688
500143-5019,5019,500143,Praha 5,0,9990
500143-5020,5020,500143,Praha 5,2,12619
500143-5021,5021,500143,Praha 5,0,11660
500143-5022,5022,500143,Praha 5,1,13316
500143-5023,5023,500143,Praha 5,2,6344
500143-5024,5024,500143,Praha 5,0,16544
500143-5025,5025,500143,Praha 5,0,15648
500143-5026,5026,500143,Praha 5,0,11104
500143-5027,5027,500143,Praha 5,3,14925
500143-5028,5028,500143,Praha 5,0,10536
500143-5029,5029,500143,Praha 5,3,15257
500143-5030,5030,500143,Praha 5,0,9635
500143-5031,5031,500143,Praha 5,0,8063
500143-5032,5032,500143,Praha 5,2,4806
500143-5033,5033,500143,Praha 5,3,11341
500143-5034,5034,500143,Praha 5,3,8825
500143-5035,5035,500143,Praha 5,4,20797
500143-5036,5036,500143,Praha 5,1,17561
500143-5037,5037,500143,Praha 5,4,23372
500143-5038,5038,500143,Praha 5,4,10534
500143-5039,5039,500143,Praha 5,0,9140
500143-5040,5040,500143,Praha 5,0,6950
500143-5041,5041,500143,Praha 5,0,9195
500143-5042,5042,500143,Praha 5,3,6057
500143-5043,5043,500143,Praha 5,4,15062
500143-5044,5044,500143,Praha 5,0,20830
500143-5045,5045,500143,Praha 5,0,13511
500143-5046,5046,500143,Praha 5,0,18315
500143-5047,5047,500143,Praha 5,0,14984
500143-5048,5048,500143,Praha 5,1,11194
500143-5049,5049,500143,Praha 5,0,10564
500143-5050,5050,500143,Praha 5,3,10998
500143-5051,5051,500143,Praha 5,0,14840
500143-5052,5052,500143,Praha 5,0,14203
500143-5053,5053,500143,Praha 5,4,25371
500143-5054,5054,500143,Praha 5,0,20601
500143-5055,5055,500143,Praha 5,0,13122
500143-5056,5056,500143,Praha 5,2,6544
500143-5057,5057,500143,Praha 5,3,7134
500143-5058,5058,500143,Praha 5,2,16247
500143-5059,5059,500143,Praha 5,1,16006
500143-5060,5060,500143,Praha 5,2,18755
500143-5061,5061,500143,Praha 5,1,22855
500143-5062,5062,500143,Praha 5,1,31790
500143-5063,5063,500143,Praha 5,1,19074
500143-5064,5064,500143,Praha 5,2,8597
500143-5065,5065,500143,Praha 5,1,23138
500143-5066,5066,500143,Praha 5,2,29672
500143-5067,5067,500143,Praha 5,1,11962
500143-5068,5068,500143,Praha 5,2,15688
500143-5069,5069,500143,Praha 5,1,15119
500143-5070,5070,500143,Praha 5,0,20022
500143-5071,5071,500143,Praha 5,1,13994
500143-5072,5072,500143,Praha 5,2,18201
500143-5073,5073,500143,Praha 5,1,14651
500143-5074,5074,500143,Praha 5,2,24389
500143-5075,5075,500143,Praha 5,2,15112
500143-5076,5076,500143,Praha 5,1,18137
500143-5077,5077,500143,Praha 5,2,16970
500143-5078,5078,500143,Praha 5,0,14439
500143-5079,5079,500143,Praha 5,2,12727
500143-5080,5080,500143,Praha 5,0,21306
500143-5081,5081,500143,Praha 5,0,21028
