OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR
7204,500011,"Želechovice nad Dřevnicí",1,1,902,90,"POCTIVÁ OBEC ŽELECHOVICE NAD DŘEVNICÍ","POCTIVÁ OBEC ŽELECHOVICE N. D.","SNK",1,"080",,,
7204,500011,"Želechovice nad Dřevnicí",1,2,470,470,"SPOLEČNĚ PRO LEPŠÍ ŽELECHOVICE","SPOLEČNĚ PRO LEPŠÍ ŽELECHOVICE","STAN+NK",2,"080,166",,,
7204,500011,"Želechovice nad Dřevnicí",1,3,901,90,"STRANA ZA ROZVOJ OBCE","STRANA ZA ROZVOJ OBCE","SNK",1,"080",,,
7204,500011,"Želechovice nad Dřevnicí",1,4,371,371,"Obec pro všechny generace","Obec pro všechny generace","ČSSD+NK",2,"007,080",,,
7204,500011,"Želechovice nad Dřevnicí",1,5,1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL",1,"001",,,
7105,500020,"Petrov nad Desnou",1,1,902,90,"PRO PETROV","PRO PETROV","SNK",1,"080",,,
7105,500020,"Petrov nad Desnou",1,2,903,90,"SPOLEČNĚ POKRAČOVAT","SPOLEČNĚ POKRAČOVAT","SNK",1,"080",,,
7105,500020,"Petrov nad Desnou",1,3,905,90,"VIZE PETROVA","VIZE PETROVA","SNK",1,"080",,,
7105,500020,"Petrov nad Desnou",1,4,768,768,"ANO 2011","ANO 2011","ANO",1,"768",,,
7105,500020,"Petrov nad Desnou",1,5,901,90,"SPOLEČNĚ PRO PETROV","SPOLEČNĚ PRO PETROV","SNK",1,"080",,,
7105,500020,"Petrov nad Desnou",1,6,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"007",,,
7105,500020,"Petrov nad Desnou",1,7,904,90,"HASIČI PRO PETROV","HASIČI PRO PETROV","SNK",1,"080",,,
8104,500046,"Libhošť",1,1,901,90,"Společně a otevřeně pro Libhošť","Spol. a otevřeně pro Libhošť","SNK",1,"080",,,
1100,500054,"Praha 1",1,1,371,371,"REZIDENTI 1","REZIDENTI 1","ČSSD+NK",2,"007,080",,,
1100,500054,"Praha 1",1,2,541,541,"Piráti a občané z Prahy 1","Piráti a občané z Prahy 1","Piráti+NK",2,"080,720",,,
1100,500054,"Praha 1",1,3,532,532,"Naše PRAHA 1 - ANO 2011, Staroměstská lípa – sdružení občanů a přátel Starého Města a Josefova v Praze, B’nai B’rith…","Naše PRAHA 1","ANO+NK",2,"080,768",,,
1100,500054,"Praha 1",1,4,524,524,"PATRIOTI PRO PRAHU 1","PATRIOTI PRO PRAHU 1","Patrioti ČR+NK",2,"080,1004",,,
1100,500054,"Praha 1",1,5,1373,1373,"PRAHA 1 SOBĚ","PRAHA 1 SOBĚ","PRAHA SOBĚ+NK",2,"080,1180",,,
1100,500054,"Praha 1",1,6,1104,1104,"My, co tady žijeme - Starostové a nezávislí, KDU-ČSL, Iniciativa občanů","My, co tady žijeme","KDU-ČSL+IO+STAN",3,"001,086,166",,,
1100,500054,"Praha 1",1,7,721,721,"TOP 09","TOP 09","TOP 09",1,"721",,,
1100,500054,"Praha 1",1,8,427,427,"Radnice pro občany","Radnice pro občany","SD-SN+NK",2,"080,143",,,
1100,500054,"Praha 1",1,9,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"053",,,
7203,500062,"Krhová",1,1,904,90,"Krhovjané","Krhovjané","SNK",1,"080",,,
7203,500062,"Krhová",1,2,901,90,"Krhová společně","Krhová společně","SNK",1,"080",,,
7203,500062,"Krhová",1,3,903,90,"Krhovjané II.","Krhovjané II.","SNK",1,"080",,,
7203,500062,"Krhová",1,4,902,90,"Krhová lidem","Krhová lidem","SNK",1,"080",,,
7203,500071,"Poličná",1,1,902,90,"RODÁCI","RODÁCI","SNK",1,"080",,,
7203,500071,"Poličná",1,2,904,90,"POLIČNÁ PRO ŽIVOT","POLIČNÁ PRO ŽIVOT","SNK",1,"080",,,
7203,500071,"Poličná",1,3,901,90,"NEZÁVISLÍ PRO POLIČNOU","NEZÁVISLÍ PRO POLIČNOU","SNK",1,"080",,,
