id,votes
504301-1,123.0
504807-1,92.0
504921-1,104.0
504955-1,57.0
505005-1,119.0
505030-1,64.0
505145-1,348.0
505391-1,113.0
530697-1,56.0
530794-1,66.0
547794-1,36.0
547808-1,69.0
547816-1,163.0
547824-1,46.0
547832-1,93.0
547841-1,105.0
547859-1,36.0
547867-1,53.0
547875-1,86.0
547891-1,128.0
547905-1,241.0
547921-1,19.0
547964-1,77.0
547972-1,49.0
547981-1,115.0
548006-1,18.0
548014-1,414.0
548022-1,85.0
548031-1,220.0
548049-1,172.0
553719-1,261.0
553760-1,103.0
554847-1,114.0
554952-1,73.0
555096-4001,543.0
555096-4002,286.0
555096-4003,342.0
555096-4004,183.0
555096-4005,362.0
555100-6001,522.0
555100-6002,399.0
555100-6003,438.0
555100-6004,312.0
555100-6005,137.0
555100-6006,70.0
555118-7001,417.0
555118-7002,363.0
555118-7003,497.0
555118-7004,219.0
555118-7005,353.0
555118-7006,125.0
555126-2001,353.0
555126-2002,201.0
555126-2003,251.0
555126-2004,173.0
555126-2005,185.0
555126-2006,237.0
555126-2007,205.0
555126-2008,224.0
555126-2009,261.0
555126-2010,277.0
555126-2011,203.0
555126-2012,232.0
555126-2013,324.0
555126-2014,189.0
555126-2015,229.0
555126-2016,219.0
555126-2017,286.0
555126-2018,271.0
555126-2019,207.0
555240-1,174.0
556882-1,208.0
556882-2,94.0
557064-3001,356.0
557064-3002,234.0
557064-3003,170.0
557064-3004,201.0
557064-3005,394.0
557064-3006,318.0
557064-3007,308.0
557064-3008,231.0
557064-3009,241.0
557064-3010,325.0
557064-3011,308.0
557064-3012,335.0
557064-3013,331.0
557064-3014,373.0
557064-3015,212.0
557072-5001,328.0
557072-5002,255.0
557072-5003,162.0
557072-5004,175.0
557072-5005,251.0
557072-5006,228.0
557072-5007,215.0
557072-5008,209.0
557072-5009,192.0
557072-5010,236.0
557072-5011,304.0
557072-5012,180.0
557072-5013,157.0
557072-5014,143.0
557072-5015,266.0
557072-5016,243.0
557072-5017,408.0
557072-5018,203.0
571164-1,324.0
571164-10,256.0
571164-11,194.0
571164-12,300.0
571164-13,261.0
571164-14,226.0
571164-15,167.0
571164-16,208.0
571164-17,188.0
571164-18,184.0
571164-19,176.0
571164-2,317.0
571164-20,183.0
571164-21,271.0
571164-22,178.0
571164-23,359.0
571164-24,198.0
571164-25,54.0
571164-26,281.0
571164-27,203.0
571164-28,75.0
571164-29,28.0
571164-3,334.0
571164-4,255.0
571164-5,229.0
571164-6,403.0
571164-7,258.0
571164-8,152.0
571164-9,346.0
571181-1,165.0
571202-1,195.0
571229-1,62.0
571237-1,67.0
571245-1,131.0
571253-1,103.0
571270-1,87.0
571296-1,49.0
571300-1,42.0
571377-1,77.0
571385-1,231.0
571385-2,158.0
571385-3,156.0
571385-4,173.0
571385-5,225.0
571385-6,275.0
571385-7,97.0
571393-1,241.0
571393-10,180.0
571393-11,175.0
571393-12,254.0
571393-13,87.0
571393-14,98.0
571393-15,28.0
571393-2,172.0
571393-3,329.0
571393-4,273.0
571393-5,230.0
571393-6,169.0
571393-7,184.0
571393-8,196.0
571393-9,184.0
571407-1,73.0
571440-1,223.0
571458-1,26.0
571458-2,16.0
571466-1,132.0
571466-2,22.0
571474-1,164.0
571482-1,54.0
571491-1,303.0
571491-2,189.0
571491-3,41.0
571504-1,94.0
571539-1,358.0
571539-2,314.0
571539-3,78.0
571539-4,69.0
571539-5,34.0
571547-1,282.0
571547-2,56.0
571563-1,110.0
571563-2,36.0
571571-1,224.0
571571-2,50.0
571580-1,72.0
571610-1,203.0
571628-1,125.0
571652-1,71.0
571661-1,258.0
571661-2,72.0
571661-3,32.0
571661-4,36.0
571695-1,118.0
571709-1,38.0
571725-1,50.0
571733-1,59.0
571750-1,59.0
571768-1,311.0
571776-1,218.0
571776-2,259.0
571776-3,71.0
571776-4,66.0
571776-5,64.0
571776-6,48.0
571822-1,101.0
571831-1,282.0
571831-2,99.0
571857-1,80.0
571873-1,92.0
571873-2,64.0
571873-3,48.0
571873-4,28.0
571890-1,37.0
571903-1,133.0
571903-2,52.0
571911-1,548.0
571920-1,93.0
571962-1,240.0
572004-1,100.0
572039-1,84.0
572063-1,58.0
572071-1,284.0
572080-1,392.0
572080-2,169.0
572080-3,78.0
572080-4,40.0
572098-1,226.0
572101-1,110.0
572110-1,58.0
572152-1,92.0
572152-2,37.0
572152-3,36.0
572161-1,189.0
572161-2,218.0
572161-3,45.0
572179-1,267.0
572179-2,35.0
572179-3,39.0
572179-4,30.0
572195-1,15.0
572209-1,75.0
572209-2,30.0
572209-3,23.0
572217-1,141.0
572225-1,417.0
572225-2,91.0
572225-3,92.0
572233-1,28.0
572241-1,262.0
572241-10,17.0
572241-11,31.0
572241-12,18.0
572241-13,13.0
572241-14,101.0
572241-2,337.0
572241-3,168.0
572241-4,205.0
572241-5,91.0
572241-6,56.0
572241-7,35.0
572241-8,38.0
572241-9,35.0
572250-1,51.0
572268-1,296.0
572268-2,299.0
572268-3,318.0
572268-4,164.0
572268-5,85.0
572268-6,57.0
572276-1,305.0
572284-1,29.0
572292-1,34.0
572306-1,56.0
572314-1,58.0
572322-1,148.0
572331-1,152.0
572349-1,306.0
572357-1,102.0
572365-1,133.0
572373-1,176.0
572381-1,86.0
572390-1,301.0
572403-1,46.0
572411-1,298.0
572411-2,173.0
572411-3,218.0
572411-4,54.0
572420-1,201.0
572438-1,30.0
572446-1,140.0
572454-1,67.0
572462-1,155.0
572471-1,81.0
572489-1,50.0
572497-1,150.0
572501-1,137.0
572519-1,157.0
572527-1,91.0
572535-1,144.0
572543-1,60.0
572551-1,137.0
572551-2,34.0
572551-3,35.0
572551-4,57.0
572560-1,89.0
572578-1,287.0
572586-1,140.0
572594-1,31.0
572608-1,79.0
572616-1,45.0
572624-1,92.0
572632-1,47.0
572641-1,97.0
572683-1,52.0
572691-1,466.0
572713-1,154.0
572721-1,201.0
572730-1,58.0
572748-1,121.0
572764-1,31.0
572799-1,49.0
572802-1,55.0
572845-1,53.0
572853-1,38.0
572861-1,69.0
572870-1,254.0
572888-1,66.0
572896-1,189.0
572934-1,86.0
572942-1,43.0
572951-1,53.0
572977-1,114.0
572985-1,83.0
573019-1,23.0
573027-1,38.0
573035-1,34.0
573078-1,41.0
573426-1,41.0
573515-1,97.0
573787-1,117.0
573817-1,50.0
573876-1,119.0
573949-1,20.0
574007-1,56.0
574091-1,64.0
574104-1,46.0
574198-1,195.0
574309-1,76.0
574325-1,64.0
574333-1,50.0
574392-1,173.0
574449-1,49.0
574716-1001,316.0
574716-1002,214.0
574716-1003,216.0
574716-1004,237.0
574716-1005,170.0
574716-1006,277.0
574716-1007,202.0
574716-1008,187.0
574716-1009,224.0
574716-1010,242.0
574716-1011,303.0
574716-1012,308.0
574716-1013,241.0
574716-1014,182.0
574716-1015,265.0
574716-1016,219.0
574716-1017,153.0
574716-1018,291.0
574716-1019,262.0
574716-1020,279.0
574716-1021,257.0
574716-1022,275.0
574724-1,88.0
574741-1,114.0
574767-1,424.0
574767-2,345.0
574767-3,247.0
574783-1,98.0
574791-1,81.0
574805-1,354.0
574813-1,61.0
574821-1,33.0
574830-1,151.0
574848-1,321.0
574848-2,104.0
574848-3,138.0
574848-4,49.0
574856-1,395.0
574864-1,111.0
574899-1,228.0
574899-2,205.0
574899-3,108.0
574902-1,118.0
574911-1,245.0
574911-2,182.0
574911-3,84.0
574911-4,55.0
574929-1,261.0
574953-1,157.0
574961-1,92.0
574988-1,232.0
574988-2,298.0
574988-3,207.0
574988-4,199.0
574988-5,314.0
574988-6,236.0
574988-7,235.0
574988-8,109.0
574988-9,73.0
574996-1,328.0
574996-2,41.0
574996-3,334.0
575011-1,216.0
575020-8001,98.0
575046-1,77.0
575054-1,326.0
575062-1,101.0
575071-1,299.0
575071-2,373.0
575071-3,39.0
575089-1,200.0
575097-1,75.0
575101-1,104.0
575119-1,79.0
575127-1,55.0
575135-1,81.0
575143-1,130.0
575151-1,78.0
575178-1,85.0
575178-2,35.0
575178-3,23.0
575178-4,61.0
575194-1,131.0
575232-1,164.0
575259-1,87.0
575305-1,179.0
575313-1,125.0
575330-1,56.0
575372-1,385.0
575381-1,54.0
575399-1,11.0
575399-2,374.0
575399-3,41.0
575399-4,86.0
575399-5,54.0
575429-1,360.0
575429-2,211.0
575429-3,182.0
575437-1,304.0
575445-1,227.0
575445-2,64.0
575461-1,95.0
575470-1,39.0
575500-1,301.0
575500-10,90.0
575500-11,61.0
575500-12,43.0
575500-13,68.0
575500-14,27.0
575500-2,410.0
575500-3,273.0
575500-4,282.0
575500-5,182.0
575500-6,281.0
575500-7,368.0
575500-8,5.0
575500-9,68.0
575518-1,92.0
575526-1,45.0
575534-1,196.0
575542-1,53.0
575551-1,162.0
575569-1,102.0
575577-1,165.0
575577-2,71.0
575593-1,333.0
575607-1,369.0
575607-2,72.0
575615-1,46.0
575623-1,220.0
575640-1,279.0
575640-2,250.0
575640-3,324.0
575640-4,34.0
575640-5,65.0
575640-6,23.0
575640-7,52.0
575640-8,145.0
575658-1,136.0
575666-1,96.0
575682-1,467.0
575682-2,134.0
575704-1,478.0
575704-2,135.0
575712-1,180.0
575721-1,156.0
575739-1,240.0
575755-1,55.0
575763-1,105.0
575771-1,136.0
575780-1,79.0
575810-1,58.0
575828-1,83.0
575844-1,57.0
575861-1,43.0
575879-1,65.0
575887-1,97.0
575909-1,51.0
575917-1,34.0
575925-1,145.0
575933-1,39.0
575941-1,151.0
575968-1,132.0
575984-1,88.0
575992-1,118.0
576000-1,107.0
576018-1,65.0
576026-1,149.0
576026-2,50.0
576042-1,50.0
576051-1,237.0
576051-2,50.0
577731-1,188.0
577731-10,305.0
577731-11,257.0
577731-12,344.0
577731-13,218.0
577731-14,262.0
577731-15,234.0
577731-16,199.0
577731-17,231.0
577731-18,27.0
