id,OKRSEK,OBEC,NAZEVOBCE,KRAJ,region_id,name,group,votes
500011-1,1,500011,Želechovice nad Dřevnicí,7200,CZ-72,Zlínský kraj,0.0,504.0
500011-2,2,500011,Želechovice nad Dřevnicí,7200,CZ-72,Zlínský kraj,0.0,284.0
500011-3,3,500011,Želechovice nad Dřevnicí,7200,CZ-72,Zlínský kraj,2.0,289.0
500020-1,1,500020,Petrov nad Desnou,7100,CZ-71,Olomoucký kraj,0.0,159.0
500020-2,2,500020,Petrov nad Desnou,7100,CZ-71,Olomoucký kraj,5.0,452.0
500046-1,1,500046,Libhošť,8100,CZ-80,Moravskoslezský kraj,7.0,941.0
500054-1001,1001,500054,Praha 1,1100,CZ-10,Praha,4.0,510.0
500054-1002,1002,500054,Praha 1,1100,CZ-10,Praha,4.0,720.0
500054-1003,1003,500054,Praha 1,1100,CZ-10,Praha,2.0,581.0
500054-1004,1004,500054,Praha 1,1100,CZ-10,Praha,2.0,551.0
500054-1005,1005,500054,Praha 1,1100,CZ-10,Praha,4.0,470.0
500054-1006,1006,500054,Praha 1,1100,CZ-10,Praha,4.0,957.0
500054-1007,1007,500054,Praha 1,1100,CZ-10,Praha,2.0,693.0
500054-1008,1008,500054,Praha 1,1100,CZ-10,Praha,2.0,599.0
500054-1009,1009,500054,Praha 1,1100,CZ-10,Praha,2.0,603.0
500054-1010,1010,500054,Praha 1,1100,CZ-10,Praha,2.0,363.0
500054-1011,1011,500054,Praha 1,1100,CZ-10,Praha,2.0,946.0
500054-1012,1012,500054,Praha 1,1100,CZ-10,Praha,2.0,532.0
500054-1013,1013,500054,Praha 1,1100,CZ-10,Praha,2.0,364.0
500054-1014,1014,500054,Praha 1,1100,CZ-10,Praha,4.0,885.0
500054-1015,1015,500054,Praha 1,1100,CZ-10,Praha,2.0,877.0
500054-1016,1016,500054,Praha 1,1100,CZ-10,Praha,6.0,543.0
500054-1017,1017,500054,Praha 1,1100,CZ-10,Praha,4.0,605.0
500054-1018,1018,500054,Praha 1,1100,CZ-10,Praha,4.0,685.0
500054-1019,1019,500054,Praha 1,1100,CZ-10,Praha,4.0,724.0
500054-1020,1020,500054,Praha 1,1100,CZ-10,Praha,8.0,694.0
500054-1021,1021,500054,Praha 1,1100,CZ-10,Praha,4.0,798.0
500062-1,1,500062,Krhová,7200,CZ-72,Zlínský kraj,0.0,1164.0
500071-1,1,500071,Poličná,7200,CZ-72,Zlínský kraj,0.0,1043.0
500089-2001,2001,500089,Praha 2,1100,CZ-10,Praha,4.0,325.0
500089-2002,2002,500089,Praha 2,1100,CZ-10,Praha,4.0,251.0
500089-2003,2003,500089,Praha 2,1100,CZ-10,Praha,4.0,480.0
500089-2004,2004,500089,Praha 2,1100,CZ-10,Praha,4.0,569.0
500089-2005,2005,500089,Praha 2,1100,CZ-10,Praha,4.0,447.0
500089-2006,2006,500089,Praha 2,1100,CZ-10,Praha,4.0,488.0
500089-2007,2007,500089,Praha 2,1100,CZ-10,Praha,4.0,541.0
500089-2008,2008,500089,Praha 2,1100,CZ-10,Praha,4.0,384.0
500089-2009,2009,500089,Praha 2,1100,CZ-10,Praha,4.0,494.0
500089-2010,2010,500089,Praha 2,1100,CZ-10,Praha,2.0,472.0
500089-2011,2011,500089,Praha 2,1100,CZ-10,Praha,2.0,468.0
500089-2012,2012,500089,Praha 2,1100,CZ-10,Praha,4.0,397.0
500089-2013,2013,500089,Praha 2,1100,CZ-10,Praha,4.0,424.0
500089-2014,2014,500089,Praha 2,1100,CZ-10,Praha,4.0,415.0
500089-2015,2015,500089,Praha 2,1100,CZ-10,Praha,4.0,386.0
500089-2016,2016,500089,Praha 2,1100,CZ-10,Praha,4.0,547.0
500089-2017,2017,500089,Praha 2,1100,CZ-10,Praha,2.0,500.0
500089-2018,2018,500089,Praha 2,1100,CZ-10,Praha,4.0,559.0
500089-2019,2019,500089,Praha 2,1100,CZ-10,Praha,4.0,433.0
500089-2020,2020,500089,Praha 2,1100,CZ-10,Praha,8.0,624.0
500089-2021,2021,500089,Praha 2,1100,CZ-10,Praha,4.0,418.0
500089-2022,2022,500089,Praha 2,1100,CZ-10,Praha,4.0,528.0
500089-2023,2023,500089,Praha 2,1100,CZ-10,Praha,2.0,525.0
500089-2024,2024,500089,Praha 2,1100,CZ-10,Praha,4.0,561.0
500089-2025,2025,500089,Praha 2,1100,CZ-10,Praha,4.0,503.0
500089-2026,2026,500089,Praha 2,1100,CZ-10,Praha,4.0,466.0
500089-2027,2027,500089,Praha 2,1100,CZ-10,Praha,4.0,610.0
500089-2028,2028,500089,Praha 2,1100,CZ-10,Praha,4.0,724.0
500089-2029,2029,500089,Praha 2,1100,CZ-10,Praha,2.0,465.0
500089-2030,2030,500089,Praha 2,1100,CZ-10,Praha,4.0,456.0
500089-2031,2031,500089,Praha 2,1100,CZ-10,Praha,4.0,369.0
500089-2032,2032,500089,Praha 2,1100,CZ-10,Praha,4.0,596.0
500089-2033,2033,500089,Praha 2,1100,CZ-10,Praha,4.0,620.0
500089-2034,2034,500089,Praha 2,1100,CZ-10,Praha,4.0,538.0
500089-2035,2035,500089,Praha 2,1100,CZ-10,Praha,6.0,589.0
500089-2036,2036,500089,Praha 2,1100,CZ-10,Praha,4.0,333.0
500089-2037,2037,500089,Praha 2,1100,CZ-10,Praha,4.0,410.0
500089-2038,2038,500089,Praha 2,1100,CZ-10,Praha,4.0,266.0
500089-2039,2039,500089,Praha 2,1100,CZ-10,Praha,4.0,418.0
500089-2040,2040,500089,Praha 2,1100,CZ-10,Praha,2.0,384.0
