id,OKRSEK,OBEC,NAZEVOBCE,votes
500011-1,1,500011,Želechovice nad Dřevnicí,496
500011-2,2,500011,Želechovice nad Dřevnicí,272
500011-3,3,500011,Želechovice nad Dřevnicí,284
500020-1,1,500020,Petrov nad Desnou,159
500020-2,2,500020,Petrov nad Desnou,414
500046-1,1,500046,Libhošť,867
500054-1001,1001,500054,Praha 1,587
500054-1002,1002,500054,Praha 1,913
500054-1003,1003,500054,Praha 1,478
500054-1004,1004,500054,Praha 1,559
500054-1005,1005,500054,Praha 1,463
500054-1006,1006,500054,Praha 1,987
500054-1007,1007,500054,Praha 1,756
500054-1008,1008,500054,Praha 1,558
500054-1009,1009,500054,Praha 1,625
500054-1010,1010,500054,Praha 1,370
500054-1011,1011,500054,Praha 1,937
500054-1012,1012,500054,Praha 1,566
500054-1013,1013,500054,Praha 1,352
500054-1014,1014,500054,Praha 1,851
500054-1015,1015,500054,Praha 1,884
500054-1016,1016,500054,Praha 1,633
500054-1017,1017,500054,Praha 1,602
500054-1018,1018,500054,Praha 1,720
500054-1019,1019,500054,Praha 1,868
500054-1020,1020,500054,Praha 1,488
500054-1021,1021,500054,Praha 1,799
500062-1,1,500062,Krhová,1069
500071-1,1,500071,Poličná,978
500089-2001,2001,500089,Praha 2,408
500089-2002,2002,500089,Praha 2,289
500089-2003,2003,500089,Praha 2,490
500089-2004,2004,500089,Praha 2,595
500089-2005,2005,500089,Praha 2,451
500089-2006,2006,500089,Praha 2,524
500089-2007,2007,500089,Praha 2,494
500089-2008,2008,500089,Praha 2,406
500089-2009,2009,500089,Praha 2,549
500089-2010,2010,500089,Praha 2,480
500089-2011,2011,500089,Praha 2,483
500089-2012,2012,500089,Praha 2,438
500089-2013,2013,500089,Praha 2,392
500089-2014,2014,500089,Praha 2,409
500089-2015,2015,500089,Praha 2,362
500089-2016,2016,500089,Praha 2,561
500089-2017,2017,500089,Praha 2,482
500089-2018,2018,500089,Praha 2,533
500089-2019,2019,500089,Praha 2,429
500089-2020,2020,500089,Praha 2,592
500089-2021,2021,500089,Praha 2,436
500089-2022,2022,500089,Praha 2,504
500089-2023,2023,500089,Praha 2,572
500089-2024,2024,500089,Praha 2,535
500089-2025,2025,500089,Praha 2,501
500089-2026,2026,500089,Praha 2,435
500089-2027,2027,500089,Praha 2,577
500089-2028,2028,500089,Praha 2,716
500089-2029,2029,500089,Praha 2,505
500089-2030,2030,500089,Praha 2,437
500089-2031,2031,500089,Praha 2,360
500089-2032,2032,500089,Praha 2,577
500089-2033,2033,500089,Praha 2,627
500089-2034,2034,500089,Praha 2,503
500089-2035,2035,500089,Praha 2,559
500089-2036,2036,500089,Praha 2,341
500089-2037,2037,500089,Praha 2,396
500089-2038,2038,500089,Praha 2,269
500089-2039,2039,500089,Praha 2,442
500089-2040,2040,500089,Praha 2,397
500089-2041,2041,500089,Praha 2,206
500089-2042,2042,500089,Praha 2,341
500089-2043,2043,500089,Praha 2,419
500089-2044,2044,500089,Praha 2,505
500089-2045,2045,500089,Praha 2,453
500097-3001,3001,500097,Praha 3,675
500097-3002,3002,500097,Praha 3,568
500097-3003,3003,500097,Praha 3,513
500097-3004,3004,500097,Praha 3,434
500097-3005,3005,500097,Praha 3,448
500097-3006,3006,500097,Praha 3,521
500097-3007,3007,500097,Praha 3,546
500097-3008,3008,500097,Praha 3,923
500097-3009,3009,500097,Praha 3,713
500097-3010,3010,500097,Praha 3,512
500097-3011,3011,500097,Praha 3,715
500097-3012,3012,500097,Praha 3,625
500097-3013,3013,500097,Praha 3,580
500097-3014,3014,500097,Praha 3,704
500097-3015,3015,500097,Praha 3,620
500097-3016,3016,500097,Praha 3,616
500097-3017,3017,500097,Praha 3,724
500097-3018,3018,500097,Praha 3,629
500097-3019,3019,500097,Praha 3,565
500097-3020,3020,500097,Praha 3,621
500097-3021,3021,500097,Praha 3,542
500097-3022,3022,500097,Praha 3,649
500097-3023,3023,500097,Praha 3,780
500097-3024,3024,500097,Praha 3,683
500097-3025,3025,500097,Praha 3,626
500097-3026,3026,500097,Praha 3,649
500097-3027,3027,500097,Praha 3,598
500097-3028,3028,500097,Praha 3,560
500097-3029,3029,500097,Praha 3,633
500097-3030,3030,500097,Praha 3,626
500097-3031,3031,500097,Praha 3,625
500097-3032,3032,500097,Praha 3,655
500097-3033,3033,500097,Praha 3,664
500097-3034,3034,500097,Praha 3,620
500097-3035,3035,500097,Praha 3,473
500097-3036,3036,500097,Praha 3,617
500097-3037,3037,500097,Praha 3,546
500097-3038,3038,500097,Praha 3,678
500097-3039,3039,500097,Praha 3,545
500097-3040,3040,500097,Praha 3,664
500097-3041,3041,500097,Praha 3,631
500097-3042,3042,500097,Praha 3,729
500097-3043,3043,500097,Praha 3,620
500097-3044,3044,500097,Praha 3,554
500097-3045,3045,500097,Praha 3,1067
500097-3046,3046,500097,Praha 3,646
500097-3047,3047,500097,Praha 3,634
500097-3048,3048,500097,Praha 3,713
500097-3049,3049,500097,Praha 3,744
500097-3050,3050,500097,Praha 3,760
500097-3051,3051,500097,Praha 3,677
500101-1,1,500101,Bražec,67
500119-4001,4001,500119,Praha 4,280
500119-4002,4002,500119,Praha 4,332
500119-4003,4003,500119,Praha 4,458
500119-4004,4004,500119,Praha 4,307
500119-4005,4005,500119,Praha 4,316
500119-4006,4006,500119,Praha 4,327
500119-4007,4007,500119,Praha 4,416
500119-4008,4008,500119,Praha 4,344
500119-4009,4009,500119,Praha 4,364
500119-4010,4010,500119,Praha 4,432
500119-4011,4011,500119,Praha 4,360
500119-4012,4012,500119,Praha 4,498
500119-4013,4013,500119,Praha 4,469
500119-4014,4014,500119,Praha 4,423
500119-4015,4015,500119,Praha 4,483
500119-4016,4016,500119,Praha 4,456
500119-4017,4017,500119,Praha 4,337
500119-4018,4018,500119,Praha 4,337
500119-4019,4019,500119,Praha 4,504
500119-4020,4020,500119,Praha 4,914
500119-4021,4021,500119,Praha 4,475
500119-4022,4022,500119,Praha 4,398
500119-4023,4023,500119,Praha 4,500
500119-4024,4024,500119,Praha 4,434
500119-4025,4025,500119,Praha 4,406
500119-4026,4026,500119,Praha 4,408
500119-4027,4027,500119,Praha 4,509
500119-4028,4028,500119,Praha 4,375
500119-4029,4029,500119,Praha 4,447
500119-4030,4030,500119,Praha 4,452
500119-4031,4031,500119,Praha 4,388
500119-4032,4032,500119,Praha 4,407
500119-4033,4033,500119,Praha 4,482
500119-4034,4034,500119,Praha 4,400
500119-4035,4035,500119,Praha 4,336
500119-4036,4036,500119,Praha 4,647
500119-4037,4037,500119,Praha 4,623
500119-4038,4038,500119,Praha 4,456
500119-4039,4039,500119,Praha 4,300
500119-4040,4040,500119,Praha 4,660
500119-4041,4041,500119,Praha 4,575
500119-4042,4042,500119,Praha 4,464
500119-4043,4043,500119,Praha 4,511
500119-4044,4044,500119,Praha 4,507
500119-4045,4045,500119,Praha 4,387
500119-4046,4046,500119,Praha 4,290
500119-4047,4047,500119,Praha 4,492
500119-4048,4048,500119,Praha 4,503
500119-4049,4049,500119,Praha 4,521
500119-4050,4050,500119,Praha 4,661
500119-4051,4051,500119,Praha 4,507
500119-4052,4052,500119,Praha 4,578
500119-4053,4053,500119,Praha 4,528
500119-4054,4054,500119,Praha 4,472
500119-4055,4055,500119,Praha 4,548
500119-4056,4056,500119,Praha 4,421
500119-4057,4057,500119,Praha 4,414
500119-4058,4058,500119,Praha 4,454
500119-4059,4059,500119,Praha 4,633
