n,time,size,extracted
1,2023-01-28T14:20:00,59,2023-01-28T14:21:03.209857
2,2023-01-28T14:25:00,300,2023-01-28T14:26:07.610949
3,2023-01-28T14:30:00,630,2023-01-28T14:30:29.382782
4,2023-01-28T14:35:00,966,2023-01-28T14:35:59.632219
5,2023-01-28T14:40:01,1181,2023-01-28T14:40:30.946133
6,2023-01-28T14:45:00,1306,2023-01-28T14:46:26.729984
7,2023-01-28T14:50:00,1335,2023-01-28T14:50:42.856138
8,2023-01-28T14:55:00,1334,2023-01-28T14:55:37.151530
9,2023-01-28T15:00:00,1304,2023-01-28T15:00:48.079697
10,2023-01-28T15:05:01,1242,2023-01-28T15:06:20.049127
11,2023-01-28T15:10:00,1021,2023-01-28T15:10:48.595233
12,2023-01-28T15:15:00,902,2023-01-28T15:16:29.145476
13,2023-01-28T15:20:00,740,2023-01-28T15:21:08.690152
14,2023-01-28T15:25:00,551,2023-01-28T15:25:58.751051
15,2023-01-28T15:30:00,482,2023-01-28T15:31:26.251721
16,2023-01-28T15:35:00,378,2023-01-28T15:36:57.097732
17,2023-01-28T15:40:00,286,2023-01-28T15:41:19.845826
