index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
10174,1100,554782,Praha hl.m.,1,1,524,524,PATRIOTI,Patrioti,,2,"080,1004",118985.0,0.46,0.0,65,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10175,1100,554782,Praha hl.m.,1,2,1024,1024,Otevřená radnice,Otevřená radnice,Hora 2014,1,1024,12373.0,0.1,0.0,30,1024,Hora 2014,,,,,
10176,1100,554782,Praha hl.m.,1,3,1041,1041,Společnost proti developerské výstavbě v Prokopském údolí,Společ.proti výst.v Prok.údolí,SPDV,1,1041,114350.0,0.45,0.0,65,1041,SPDV,,,,,
10177,1100,554782,Praha hl.m.,1,4,427,427,protiPIRÁTSKÁ kandidátka - mládí a zkušenost vpřed. PRAHU DÁL ROZKRÁDAT NEDÁME!,protiPIRÁTSKÁ kandidátka,,2,"080,143",117075.0,0.46,0.0,65,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10178,1100,554782,Praha hl.m.,1,5,482,482,S.O.S ZA PRÁVA ZVÍŘAT - sdružení DSZ a NK,S.O.S ZA PRÁVA ZVÍŘAT,,2,"080,715",20688.0,0.75,0.0,7,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10179,1100,554782,Praha hl.m.,1,6,659,659,"TOP 09 a Starostové (STAN) ve spolupráci s KDU-ČSL, LES a Demokraty Jana Kasla -Spojené síly pro Prahu""""","Koalice STAN, TOP 09",TOP+STAN,2,"166,721",4127063.0,16.28,13.0,65,166,TOP+STAN,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9,1.0
10180,1100,554782,Praha hl.m.,1,7,98,98,"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET",Volte Pr.Blok www.cibulka.net,PB,1,098,4275.0,0.21,0.0,5,98,PB,,,,,
10181,1100,554782,Praha hl.m.,1,8,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,827036.0,3.26,0.0,65,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
10182,1100,554782,Praha hl.m.,1,9,1214,1214,DOST JE DOST ! Občané za svá práva,DOST JE DOST! Ob. za svá práva,Dost je Dost !,1,1214,26102.0,0.1,0.0,65,1214,Dost je Dost !,,,,,
10183,1100,554782,Praha hl.m.,1,10,1174,1174,PLUS,PLUS,PLUS,1,1174,19293.0,0.07,0.0,65,1174,PLUS,,,,,
10184,1100,554782,Praha hl.m.,1,11,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,4326041.0,17.07,13.0,65,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
10185,1100,554782,Praha hl.m.,1,12,1201,1201,JAUNER Československo 2018,JAUNER Československo 2018,JAUNER,1,1201,12063.0,0.04,0.0,65,1201,JAUNER,,,,,
10186,1100,554782,Praha hl.m.,1,13,1399,1399,OBČANSKÁ DEMOKRATICKÁ ALIANCE - KRÁSNÁ PRAHA,"KRÁSNÁ PRAHA - ODA, NK",ODA+NK,2,"080,1173",64401.0,0.26,0.0,65,80,ODA+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10187,1100,554782,Praha hl.m.,1,14,137,137,ROZUMNÍ,ROZUMNÍ,Rozumní,1,137,58262.0,0.22,0.0,65,137,Rozumní,,,,,
10188,1100,554782,Praha hl.m.,1,15,88,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,34911.0,0.24,0.0,36,88,NEZ,,,,,
10189,1100,554782,Praha hl.m.,1,16,551,551,STAROSTOVÉ PRO PRAHU,STAROSTOVÉ PRO PRAHU,,2,"080,791",486991.0,1.92,0.0,65,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10190,1100,554782,Praha hl.m.,1,17,1125,1125,SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ČESKOSLOVENSKA MIROSLAVA SLÁDKA,SPR-Republ.str.Čsl. M.Sládka,SPRRSČ M.Sládka,1,1125,1788.0,0.07,0.0,6,1125,SPRRSČ M.Sládka,,,,,
10191,1100,554782,Praha hl.m.,1,18,5,5,Strana zelených,Strana zelených,Zelení,1,005,467071.0,1.84,0.0,65,5,Zelení,SZ,Strana zelených,5.0,#36da83,1.0
10192,1100,554782,Praha hl.m.,1,19,1114,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD),Svob.a př.dem.-T.Okamura (SPD),SPD,1,1114,895859.0,3.53,0.0,65,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
10193,1100,554782,Praha hl.m.,1,20,901,90,PRAHA SOBĚ,PRAHA SOBĚ,SNK,1,080,4197578.0,16.56,13.0,65,80,SNK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10194,1100,554782,Praha hl.m.,1,21,7,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,727826.0,2.87,0.0,65,7,ČSSD,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
