OKRSEK,STRANA,HLASY,batch
7,1,265,16
7,2,392,16
7,3,41,16
7,4,113,16
7,5,73,16
7,6,14,16
7,7,166,16
12,1,256,25
12,2,282,25
12,3,111,25
12,4,53,25
12,5,163,25
12,6,44,25
12,7,278,25
9,1,49,26
9,2,393,26
9,3,48,26
9,4,8,26
9,5,84,26
9,6,42,26
9,7,226,26
8,1,103,28
8,2,150,28
8,3,110,28
8,4,245,28
8,5,158,28
8,6,26,28
8,7,147,28
11,1,245,32
11,2,520,32
11,3,151,32
11,4,113,32
11,5,271,32
11,6,38,32
11,7,610,32
3,1,542,38
3,2,1420,38
3,3,821,38
3,4,1193,38
3,5,728,38
3,6,203,38
3,7,1123,38
10,1,272,42
10,2,456,42
10,3,238,42
10,4,344,42
10,5,309,42
10,6,54,42
10,7,374,42
2,1,435,47
2,2,949,47
2,3,937,47
2,4,1192,47
2,5,800,47
2,6,198,47
2,7,1292,47
5,1,651,50
5,2,1368,50
5,3,1116,50
5,4,1231,50
5,5,1088,50
5,6,271,50
5,7,1522,50
6,1,469,51
6,2,1353,51
6,3,757,51
6,4,1476,51
6,5,853,51
6,6,446,51
6,7,802,51
4,1,900,58
4,2,1376,58
4,3,642,58
4,4,984,58
4,5,1529,58
4,6,255,58
4,7,1463,58
1,1,520,77
1,2,1584,77
1,3,772,77
1,4,1174,77
1,5,913,77
1,6,218,77
1,7,1047,77
