n,time,size
1,2018-10-06T14:34:00,8
2,2018-10-06T14:39:00,29
3,2018-10-06T14:44:00,47
4,2018-10-06T14:49:00,73
5,2018-10-06T14:54:00,113
6,2018-10-06T14:59:00,166
7,2018-10-06T15:04:00,167
8,2018-10-06T15:09:00,216
9,2018-10-06T15:14:00,223
10,2018-10-06T15:19:00,258
11,2018-10-06T15:24:00,256
12,2018-10-06T15:29:00,286
13,2018-10-06T15:34:00,270
14,2018-10-06T15:39:00,283
15,2018-10-06T15:44:00,283
16,2018-10-06T15:49:00,279
17,2018-10-06T15:54:00,300
18,2018-10-06T15:59:00,283
19,2018-10-06T16:04:00,289
20,2018-10-06T16:09:00,312
21,2018-10-06T16:14:00,287
22,2018-10-06T16:19:00,244
23,2018-10-06T16:24:00,237
24,2018-10-06T16:29:00,283
25,2018-10-06T16:34:00,266
26,2018-10-06T16:39:00,258
27,2018-10-06T16:44:00,233
28,2018-10-06T16:49:00,251
29,2018-10-06T16:54:00,251
30,2018-10-06T16:59:00,266
31,2018-10-06T17:04:00,227
32,2018-10-06T17:09:00,260
33,2018-10-06T17:14:00,280
34,2018-10-06T17:19:00,270
35,2018-10-06T17:24:00,233
36,2018-10-06T17:29:00,239
37,2018-10-06T17:34:00,244
38,2018-10-06T17:39:00,250
39,2018-10-06T17:44:00,242
40,2018-10-06T17:49:00,239
41,2018-10-06T17:54:00,241
42,2018-10-06T17:59:00,223
43,2018-10-06T18:04:00,211
44,2018-10-06T18:09:00,217
45,2018-10-06T18:14:00,228
46,2018-10-06T18:19:00,220
47,2018-10-06T18:24:00,215
48,2018-10-06T18:29:00,186
49,2018-10-06T18:34:00,202
50,2018-10-06T18:39:00,201
51,2018-10-06T18:44:00,193
52,2018-10-06T18:49:00,200
53,2018-10-06T18:54:00,196
54,2018-10-06T18:59:00,166
55,2018-10-06T19:04:00,168
56,2018-10-06T19:09:00,154
57,2018-10-06T19:14:00,167
58,2018-10-06T19:19:00,168
59,2018-10-06T19:24:00,144
60,2018-10-06T19:29:00,166
61,2018-10-06T19:34:00,122
62,2018-10-06T19:39:00,137
63,2018-10-06T19:44:00,114
64,2018-10-06T19:49:00,131
65,2018-10-06T19:54:00,120
66,2018-10-06T19:59:00,109
67,2018-10-06T20:04:00,105
68,2018-10-06T20:09:00,120
69,2018-10-06T20:14:00,92
70,2018-10-06T20:19:00,84
71,2018-10-06T20:24:00,84
72,2018-10-06T20:29:00,78
73,2018-10-06T20:34:00,87
74,2018-10-06T20:39:00,90
75,2018-10-06T20:44:00,68
76,2018-10-06T20:49:00,54
77,2018-10-06T20:54:00,94
78,2018-10-06T20:59:00,86
79,2018-10-06T21:04:00,87
80,2018-10-06T21:09:00,65
81,2018-10-06T21:14:00,80
82,2018-10-06T21:19:00,82
83,2018-10-06T21:24:00,80
84,2018-10-06T21:29:00,85
85,2018-10-06T21:34:00,38
86,2018-10-06T21:39:00,72
87,2018-10-06T21:44:00,57
88,2018-10-06T21:49:00,55
89,2018-10-06T21:54:00,69
90,2018-10-06T21:59:00,36
91,2018-10-06T22:04:00,59
92,2018-10-06T22:09:00,40
93,2018-10-06T22:14:00,44
94,2018-10-06T22:19:00,59
95,2018-10-06T22:24:00,42
96,2018-10-06T22:29:00,42
97,2018-10-06T22:34:00,49
98,2018-10-06T22:39:00,36
99,2018-10-06T22:44:00,39
100,2018-10-06T22:49:00,32
101,2018-10-06T22:54:00,40
102,2018-10-06T22:59:00,33
103,2018-10-06T23:04:00,42
104,2018-10-06T23:09:00,28
105,2018-10-06T23:14:00,29
106,2018-10-06T23:19:00,25
107,2018-10-06T23:24:00,29
108,2018-10-06T23:29:00,38
109,2018-10-06T23:34:00,22
110,2018-10-06T23:39:00,33
111,2018-10-06T23:44:00,40
112,2018-10-06T23:49:00,22
113,2018-10-06T23:54:00,17
114,2018-10-06T23:59:00,16
115,2018-10-07T00:04:00,12
116,2018-10-07T00:09:00,21
117,2018-10-07T00:14:00,28
118,2018-10-07T00:19:00,14
119,2018-10-07T00:24:00,24
120,2018-10-07T00:29:00,15
121,2018-10-07T00:34:00,13
122,2018-10-07T00:39:00,18
123,2018-10-07T00:44:00,11
124,2018-10-07T00:49:00,12
125,2018-10-07T00:54:00,9
126,2018-10-07T00:59:00,13
127,2018-10-07T01:04:00,13
128,2018-10-07T01:09:00,7
129,2018-10-07T01:14:00,17
130,2018-10-07T01:19:00,11
131,2018-10-07T01:24:00,15
