index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
88,1100,500178,Praha 6,1,1,166,166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN,1,166,226854.0,13.76,7.0,45,166,STAN,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9,1.0
89,1100,500178,Praha 6,1,2,1435,1435,Občané za odstranění pomníku maršála Koněva,Obč. za odstr. pomn. m. Koněva,KČ+NK,2,"055,080",2538.0,0.43,0.0,18,55,KČ+NK,,,,,
90,1100,500178,Praha 6,1,3,7,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,46072.0,2.79,0.0,45,7,ČSSD,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
91,1100,500178,Praha 6,1,4,1114,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD),Svob.a př.dem.-T.Okamura (SPD),SPD,1,1114,45813.0,2.97,0.0,45,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
92,1100,500178,Praha 6,1,5,1399,1399,KRÁSNÁ PRAHA 6,KRÁSNÁ PRAHA 6,ODA+NK,2,"080,1173",15664.0,0.95,0.0,45,80,ODA+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
93,1100,500178,Praha 6,1,6,768,768,ANO 2011,ANO 2011,ANO,1,768,196874.0,11.94,6.0,45,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
94,1100,500178,Praha 6,1,7,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,60479.0,3.66,0.0,45,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
95,1100,500178,Praha 6,1,8,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,285159.0,17.3,9.0,45,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
96,1100,500178,Praha 6,1,9,1058,1058,KLID. Koalice TOP 09 a KDU-ČSL pro Prahu 6,KLID. Koalice TOP 09 a KDU-ČSL,KDU-ČSL+TOP 09,2,"001,721",328665.0,19.94,10.0,45,1,KDU-ČSL+TOP 09,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
97,1100,500178,Praha 6,1,10,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,322042.0,19.53,10.0,45,53,ODS,ODS,Občanská demokratická strana,53.0,#4175e0,1.0
98,1100,500178,Praha 6,1,11,364,364,Zelení - Strana zelených,Zelení - Strana zelených,Zelení+NK,2,"005,080",117987.0,7.15,3.0,45,5,Zelení+NK,SZ,Strana zelených,5.0,#36da83,1.0
