OKRSEK,STRANA,HLASY,batch
26,1,144,27
26,2,1605,27
26,3,177,27
26,4,997,27
26,5,309,27
26,6,1236,27
26,7,161,27
26,8,507,27
26,9,281,27
26,10,0,27
26,11,4,27
12,1,222,31
12,2,2706,31
12,3,458,31
12,4,1729,31
12,5,710,31
12,6,1539,31
12,7,1068,31
12,8,804,31
12,9,570,31
12,10,9,31
12,11,10,31
14,1,134,33
14,2,3280,33
14,3,652,33
14,4,2027,33
14,5,951,33
14,6,1724,33
14,7,399,33
14,8,1089,33
14,9,536,33
14,10,63,33
14,11,8,33
4,1,192,37
4,2,1422,37
4,3,366,37
4,4,1310,37
4,5,279,37
4,6,1537,37
4,7,521,37
4,8,394,37
4,9,129,37
4,10,39,37
4,11,3,37
37,1,159,37
37,2,2282,37
37,3,122,37
37,4,1069,37
37,5,673,37
37,6,689,37
37,7,412,37
37,8,985,37
37,9,268,37
37,10,20,37
37,11,12,37
30,1,126,39
30,2,1874,39
30,3,301,39
30,4,911,39
30,5,563,39
30,6,1102,39
30,7,73,39
30,8,641,39
30,9,197,39
30,10,1,39
30,11,5,39
38,1,200,39
38,2,1633,39
38,3,190,39
38,4,958,39
38,5,557,39
38,6,690,39
38,7,325,39
38,8,514,39
38,9,263,39
38,10,54,39
38,11,3,39
7,1,295,39
7,2,2123,39
7,3,547,39
7,4,2610,39
7,5,572,39
7,6,1596,39
7,7,919,39
7,8,721,39
7,9,583,39
7,10,3,39
7,11,9,39
23,1,77,40
23,2,2881,40
23,3,392,40
23,4,2487,40
23,5,478,40
23,6,1791,40
23,7,856,40
23,8,1091,40
23,9,491,40
23,10,71,40
23,11,7,40
39,1,54,40
39,2,1349,40
39,3,249,40
39,4,1182,40
39,5,753,40
39,6,618,40
39,7,144,40
39,8,207,40
39,9,188,40
39,10,48,40
39,11,5,40
9,1,28,41
9,2,2463,41
9,3,453,41
9,4,2593,41
9,5,381,41
9,6,726,41
9,7,579,41
9,8,612,41
9,9,560,41
9,10,39,41
9,11,3,41
40,1,202,42
40,2,1419,42
40,3,108,42
40,4,1017,42
40,5,535,42
40,6,1093,42
40,7,342,42
40,8,623,42
40,9,722,42
40,10,119,42
40,11,2,42
34,1,59,42
34,2,1878,42
34,3,95,42
34,4,1335,42
34,5,927,42
34,6,961,42
34,7,139,42
34,8,720,42
34,9,473,42
34,10,82,42
34,11,6,42
33,1,98,43
33,2,2109,43
33,3,216,43
33,4,1526,43
33,5,524,43
33,6,1659,43
33,7,623,43
33,8,939,43
33,9,485,43
33,10,35,43
33,11,5,43
2,1,36,44
2,2,1843,44
2,3,148,44
2,4,2189,44
2,5,715,44
2,6,736,44
2,7,474,44
2,8,823,44
2,9,570,44
2,10,29,44
2,11,9,44
11,1,123,45
11,2,1784,45
11,3,786,45
11,4,3328,45
11,5,285,45
11,6,1426,45
11,7,668,45
11,8,878,45
11,9,515,45
11,10,49,45
11,11,12,45
29,1,346,45
29,2,1895,45
29,3,303,45
29,4,1189,45
29,5,722,45
29,6,864,45
29,7,28,45
29,8,689,45
29,9,254,45
29,10,14,45
29,11,5,45
36,1,78,46
36,2,1782,46
36,3,397,46
36,4,1442,46
36,5,647,46
36,6,1394,46
36,7,230,46
36,8,954,46
36,9,540,46
36,10,54,46
36,11,8,46
10,1,184,50
10,2,2617,50
10,3,433,50
10,4,2932,50
10,5,519,50
10,6,1449,50
10,7,675,50
10,8,784,50
10,9,165,50
10,10,134,50
10,11,7,50
25,1,101,52
25,2,2770,52
25,3,197,52
25,4,1589,52
25,5,373,52
25,6,1794,52
25,7,402,52
25,8,913,52
25,9,458,52
25,10,5,52
25,11,9,52
32,1,72,52
32,2,2493,52
32,3,1093,52
32,4,222,52
32,5,846,52
32,6,928,52
32,7,179,52
32,8,726,52
32,9,411,52
32,10,59,52
32,11,5,52
17,1,36,52
17,2,2299,52
17,3,472,52
17,4,2834,52
17,5,739,52
17,6,1869,52
17,7,447,52
17,8,1248,52
17,9,662,52
17,10,5,52
17,11,19,52
27,1,1116,54
27,2,1980,54
27,3,137,54
27,4,1508,54
27,5,234,54
27,6,1297,54
27,7,218,54
27,8,659,54
27,9,482,54
27,10,7,54
27,11,4,54
3,1,202,55
3,2,2598,55
3,3,674,55
3,4,2879,55
3,5,589,55
3,6,1409,55
3,7,643,55
3,8,1172,55
3,9,603,55
3,10,42,55
3,11,5,55
35,1,163,55
35,2,1577,55
35,3,302,55
35,4,1201,55
35,5,617,55
35,6,1187,55
35,7,348,55
35,8,780,55
35,9,778,55
35,10,76,55
35,11,5,55
24,1,187,56
24,2,3513,56
24,3,1002,56
24,4,3556,56
24,5,449,56
24,6,2188,56
24,7,1260,56
24,8,1045,56
24,9,535,56
24,10,45,56
24,11,20,56
8,1,351,56
8,2,2205,56
8,3,449,56
8,4,3239,56
8,5,679,56
8,6,1565,56
8,7,844,56
8,8,620,56
8,9,636,56
8,10,4,56
8,11,10,56
28,1,204,57
28,2,2261,57
28,3,187,57
28,4,891,57
28,5,610,57
28,6,1206,57
28,7,200,57
28,8,493,57
28,9,670,57
28,10,114,57
28,11,6,57
5,1,121,58
5,2,1564,58
5,3,335,58
5,4,1490,58
5,5,145,58
5,6,1606,58
5,7,493,58
5,8,342,58
5,9,254,58
5,10,12,58
5,11,9,58
19,1,30,58
19,2,2252,58
19,3,477,58
19,4,1980,58
19,5,488,58
19,6,2132,58
19,7,1176,58
19,8,768,58
19,9,764,58
19,10,3,58
19,11,19,58
18,1,143,58
18,2,2364,58
18,3,659,58
18,4,2591,58
18,5,446,58
18,6,1477,58
18,7,868,58
18,8,1000,58
18,9,467,58
18,10,4,58
18,11,12,58
1,1,64,60
1,2,1635,60
1,3,519,60
1,4,3653,60
1,5,562,60
1,6,2045,60
1,7,1053,60
1,8,530,60
1,9,298,60
1,10,3,60
1,11,5,60
31,1,165,62
31,2,3166,62
31,3,613,62
31,4,2750,62
31,5,650,62
31,6,2436,62
31,7,752,62
31,8,1157,62
31,9,294,62
31,10,82,62
31,11,16,62
22,1,49,64
22,2,2712,64
22,3,600,64
22,4,2864,64
22,5,510,64
22,6,1655,64
22,7,611,64
22,8,1085,64
22,9,491,64
22,10,2,64
22,11,15,64
20,1,101,64
20,2,2917,64
20,3,687,64
20,4,2001,64
20,5,395,64
20,6,1555,64
20,7,707,64
20,8,945,64
20,9,480,64
20,10,13,64
20,11,7,64
21,1,300,67
21,2,2923,67
21,3,417,67
21,4,2206,67
21,5,841,67
21,6,2067,67
21,7,965,67
21,8,1155,67
21,9,517,67
21,10,22,67
21,11,4,67
16,1,364,72
16,2,2727,72
16,3,877,72
16,4,3223,72
16,5,787,72
16,6,2962,72
16,7,1165,72
16,8,1254,72
16,9,605,72
16,10,72,72
16,11,11,72
6,1,149,77
6,2,2185,77
6,3,396,77
6,4,1824,77
6,5,393,77
6,6,1529,77
6,7,1124,77
6,8,713,77
6,9,244,77
6,10,151,77
6,11,3,77
15,1,99,100
15,2,3016,100
15,3,796,100
15,4,3309,100
15,5,554,100
15,6,2555,100
15,7,1377,100
15,8,1687,100
15,9,699,100
15,10,57,100
15,11,9,100
32,1,70,121
32,2,2494,121
32,3,150,121
32,4,1173,121
32,5,847,121
32,6,932,121
32,7,179,121
32,8,726,121
32,9,375,121
32,10,59,121
32,11,5,121
13,1,329,141
13,2,2348,141
13,3,557,141
13,4,3313,141
13,5,666,141
13,6,3184,141
13,7,936,141
13,8,903,141
13,9,619,141
13,10,39,141
13,11,12,141
