OKRSEK,STRANA,HLASY,batch
37,1,63,13
37,2,105,13
37,3,89,13
37,4,6,13
37,5,111,13
37,6,0,13
37,7,0,13
37,8,2,13
37,9,265,13
37,10,4,13
37,11,176,13
37,12,495,13
37,13,226,13
37,14,102,13
40,1,196,16
40,2,316,16
40,3,308,16
40,4,61,16
40,5,223,16
40,6,2,16
40,7,0,16
40,8,9,16
40,9,538,16
40,10,15,16
40,11,182,16
40,12,311,16
40,13,228,16
40,14,64,16
31,1,397,17
31,2,352,17
31,3,265,17
31,4,12,17
31,5,218,17
31,6,4,17
31,7,5,17
31,8,0,17
31,9,789,17
31,10,42,17
31,11,432,17
31,12,721,17
31,13,183,17
31,14,95,17
44,1,10,20
44,2,78,20
44,3,124,20
44,4,31,20
44,5,40,20
44,6,0,20
44,7,2,20
44,8,0,20
44,9,298,20
44,10,5,20
44,11,38,20
44,12,282,20
44,13,29,20
44,14,5,20
18,1,94,20
18,2,303,20
18,3,196,20
18,4,16,20
18,5,67,20
18,6,6,20
18,7,1,20
18,8,9,20
18,9,728,20
18,10,14,20
18,11,478,20
18,12,1329,20
18,13,321,20
18,14,261,20
30,1,122,20
30,2,267,20
30,3,306,20
30,4,9,20
30,5,297,20
30,6,1,20
30,7,4,20
30,8,8,20
30,9,465,20
30,10,17,20
30,11,283,20
30,12,546,20
30,13,130,20
30,14,34,20
32,1,259,23
32,2,317,23
32,3,371,23
32,4,37,23
32,5,318,23
32,6,6,23
32,7,4,23
32,8,36,23
32,9,611,23
32,10,157,23
32,11,613,23
32,12,840,23
32,13,234,23
32,14,304,23
25,1,62,24
25,2,138,24
25,3,69,24
25,4,1,24
25,5,153,24
25,6,25,24
25,7,1,24
25,8,10,24
25,9,366,24
25,10,35,24
25,11,153,24
25,12,526,24
25,13,87,24
25,14,87,24
17,1,122,24
17,2,200,24
17,3,237,24
17,4,12,24
17,5,123,24
17,6,2,24
17,7,1,24
17,8,3,24
17,9,803,24
17,10,48,24
17,11,515,24
17,12,727,24
17,13,31,24
17,14,207,24
23,1,214,25
23,2,220,25
23,3,82,25
23,4,58,25
23,5,206,25
23,6,6,25
23,7,1,25
23,8,35,25
23,9,826,25
23,10,43,25
23,11,457,25
23,12,644,25
23,13,188,25
23,14,200,25
35,1,93,27
35,2,184,27
35,3,140,27
35,4,62,27
35,5,217,27
35,6,2,27
35,7,7,27
35,8,10,27
35,9,574,27
35,10,30,27
35,11,103,27
35,12,457,27
35,13,145,27
35,14,232,27
15,1,55,28
15,2,148,28
15,3,307,28
15,4,10,28
15,5,132,28
15,6,1,28
15,7,3,28
15,8,33,28
15,9,805,28
15,10,31,28
15,11,246,28
15,12,1033,28
15,13,223,28
15,14,341,28
27,1,284,29
27,2,487,29
27,3,327,29
27,4,20,29
27,5,111,29
27,6,8,29
27,7,10,29
27,8,9,29
27,9,941,29
27,10,38,29
27,11,412,29
27,12,1438,29
27,13,418,29
27,14,349,29
2,1,350,29
2,2,452,29
2,3,524,29
2,4,7,29
2,5,298,29
2,6,3,29
2,7,3,29
2,8,77,29
2,9,1903,29
2,10,96,29
2,11,355,29
2,12,1357,29
2,13,196,29
2,14,150,29
24,1,437,32
24,2,429,32
24,3,556,32
24,4,34,32
24,5,741,32
24,6,0,32
24,7,1,32
24,8,56,32
24,9,1268,32
24,10,45,32
24,11,460,32
24,12,1381,32
24,13,322,32
24,14,434,32
6,1,200,34
6,2,407,34
6,3,552,34
6,4,32,34
6,5,316,34
6,6,0,34
6,7,8,34
6,8,16,34
6,9,1017,34
6,10,104,34
6,11,276,34
6,12,1462,34
6,13,393,34
6,14,218,34
4,1,721,35
4,2,966,35
4,3,1091,35
4,4,31,35
4,5,609,35
4,6,3,35
4,7,3,35
4,8,19,35
4,9,2400,35
4,10,293,35
4,11,458,35
4,12,2736,35
4,13,514,35
4,14,428,35
38,1,1182,35
38,2,220,35
38,3,279,35
38,4,8,35
38,5,161,35
38,6,6,35
38,7,4,35
38,8,6,35
38,9,554,35
38,10,42,35
38,11,48,35
38,12,929,35
38,13,173,35
38,14,393,35
26,1,127,35
26,2,468,35
26,3,408,35
26,4,60,35
26,5,533,35
26,6,2,35
26,7,5,35
26,8,56,35
26,9,996,35
26,10,36,35
26,11,698,35
26,12,1400,35
26,13,359,35
26,14,318,35
39,1,200,37
39,2,391,37
39,3,870,37
39,4,42,37
39,5,388,37
39,6,1,37
39,7,6,37
39,8,30,37
39,9,977,37
39,10,22,37
39,11,186,37
39,12,674,37
39,13,203,37
39,14,134,37
10,1,105,37
10,2,320,37
10,3,240,37
10,4,10,37
10,5,385,37
10,6,75,37
10,7,2,37
10,8,79,37
10,9,483,37
10,10,41,37
10,11,211,37
10,12,1006,37
10,13,77,37
10,14,228,37
13,1,298,38
13,2,497,38
13,3,632,38
13,4,53,38
13,5,537,38
13,6,2,38
13,7,3,38
13,8,63,38
13,9,1135,38
13,10,188,38
13,11,581,38
13,12,2054,38
13,13,152,38
13,14,400,38
9,1,303,38
9,2,403,38
9,3,466,38
9,4,43,38
9,5,225,38
9,6,5,38
9,7,1,38
9,8,11,38
9,9,944,38
9,10,33,38
9,11,515,38
9,12,1528,38
9,13,178,38
9,14,297,38
33,1,259,39
33,2,354,39
33,3,350,39
33,4,32,39
33,5,490,39
33,6,4,39
33,7,1,39
33,8,31,39
33,9,746,39
33,10,248,39
33,11,216,39
33,12,937,39
33,13,429,39
33,14,95,39
11,1,207,39
11,2,209,39
11,3,462,39
11,4,45,39
11,5,327,39
11,6,6,39
11,7,6,39
11,8,108,39
11,9,1340,39
11,10,75,39
11,11,308,39
11,12,796,39
11,13,66,39
11,14,207,39
3,1,229,40
3,2,193,40
3,3,459,40
3,4,123,40
3,5,303,40
3,6,0,40
3,7,1,40
3,8,30,40
3,9,760,40
3,10,88,40
3,11,279,40
3,12,508,40
3,13,103,40
3,14,66,40
34,1,316,41
34,2,439,41
34,3,692,41
34,4,18,41
34,5,596,41
34,6,2,41
34,7,1,41
34,8,87,41
34,9,909,41
34,10,139,41
34,11,484,41
34,12,1055,41
34,13,253,41
34,14,210,41
29,1,295,42
29,2,202,42
29,3,308,42
29,4,24,42
29,5,318,42
29,6,2,42
29,7,2,42
29,8,8,42
29,9,814,42
29,10,165,42
29,11,391,42
29,12,917,42
29,13,229,42
29,14,213,42
8,1,347,42
8,2,331,42
8,3,598,42
8,4,68,42
8,5,317,42
8,6,4,42
8,7,3,42
8,8,60,42
8,9,1780,42
8,10,48,42
8,11,531,42
8,12,1508,42
8,13,209,42
8,14,598,42
28,1,659,42
28,2,514,42
28,3,652,42
28,4,130,42
28,5,460,42
28,6,4,42
28,7,1,42
28,8,32,42
28,9,1168,42
28,10,65,42
28,11,427,42
28,12,1367,42
28,13,478,42
28,14,418,42
1,1,398,46
1,2,816,46
1,3,708,46
1,4,23,46
1,5,662,46
1,6,3,46
1,7,4,46
1,8,46,46
1,9,1932,46
1,10,166,46
1,11,422,46
1,12,1151,46
1,13,430,46
1,14,232,46
16,1,471,47
16,2,448,47
16,3,818,47
16,4,85,47
16,5,589,47
16,6,27,47
16,7,2,47
16,8,17,47
16,9,1807,47
16,10,34,47
16,11,531,47
16,12,1617,47
16,13,138,47
16,14,170,47
42,1,244,50
42,2,786,50
42,3,479,50
42,4,25,50
42,5,491,50
42,6,2,50
42,7,7,50
42,8,10,50
42,9,1927,50
42,10,324,50
42,11,1019,50
42,12,1860,50
42,13,305,50
42,14,296,50
36,1,150,50
36,2,351,50
36,3,633,50
36,4,21,50
36,5,708,50
36,6,1,50
36,7,4,50
36,8,11,50
36,9,1065,50
36,10,43,50
36,11,490,50
36,12,1306,50
36,13,311,50
36,14,276,50
22,1,246,50
22,2,408,50
22,3,169,50
22,4,29,50
22,5,179,50
22,6,18,50
22,7,0,50
22,8,8,50
22,9,558,50
22,10,119,50
22,11,391,50
22,12,1013,50
